id,lang,partition,public_url_segment,audio_file_transcript,contains_toxicity,toxicity_types,perlocutionary_effects,label,etox_result,detoxify_score,mutox_speech_score,mutox_text_score,mutox_zero_shot_speech_score,mutox_zero_shot_text_score
0a9dbca166fdf978fef9fe8d_1966464_1971006,eng,devtest,https://blb-ra.blueletterbible.org/davis_bob/Jos/06-JOS-009-001.mp3 1966464 1971006,these are not people from far away these are people from right here we need to kill them,Yes,Physical violence or bullying language,"Aggressive (including passive-aggressive) tone of voice, Veiled threats",1,,0.9705238938331604,-1.425183653831482,1.1819602251052856,,
0bb68759f508423d239b3c21_775200_778398,eng,devtest,http://stagenstudio.com/audio/SNS-030816-OHS-Cho.mp3 775200 778398,"that said, you know, we don't want Chinese laborers.",Yes,Hate speech,None of the above,1,,0.6965191960334778,-2.8198838233947754,-19.205265045166016,,
0bc7e80899916439364e2e1f_980640_986526,eng,devtest,https://episodes.castos.com/dougshow/aa72898b-f525-404b-94a3-3693585eea1a-A-Company-Wants-to-Buy-My-Site-listener-question-DS355-5-2-22-1.37-PM-Doug.Show.mp3 980640 986526,"When everything is good, I mean, shit's easy. When...",Yes,Profanities,None of the above,1,shit,0.8845580220222473,18.02446556091309,15.703946113586426,,
0be92d9d5084e0d09929383b_102144_105822,eng,devtest,https://podpoint.com/download/390668d8d39ebfcc5579cbe5004c5102.mp3 102144 105822,"get slapped in the face, it happens.",Yes,Physical violence or bullying language,Veiled threats,1,,0.9165583848953247,-1.7489908933639526,-20.535404205322266,,
0c2d5e8a85c85be790b80e3c_482016_486174,eng,devtest,http://www.podtrac.com/pts/redirect.mp3/podcast.issuesetc.org/638120810H1S1.mp3 482016 486174,death penalty for those who convert from Islam to any other religion.,Yes,"Hate speech, Physical violence or bullying language",Veiled threats,1,,0.9649950265884399,-4.782785415649414,-3.6140451431274414,,
0c541a8d16a24a73358b948e_1173792_1177374,eng,devtest,https://www.archive.org/download/aspects_of_love_anthology_1707_librivox/aspectsoflove_20_various_64kb.mp3 1173792 1177374,I am a wall and my breasts like towers.,Yes,Pornographic language,None of the above,1,breasts,0.8757825493812561,-12.91838264465332,-8.864834785461426,,
10fda2474b8345364f960111_1809312_1811934,eng,devtest,https://media.blubrry.com/runoutpodcast/content.blubrry.com/runoutpodcast/Runout63Johnson_Runout_vs_AF_Huey.mp3 1809312 1811934,griping about getting their shit stolen.,Yes,Profanities,None of the above,1,shit,0.9561042189598083,-3.127833843231201,-14.441962242126465,,
1112744e7672a57f3fd3dc7e_290880_292926,eng,devtest,https://objects-us-east-1.dream.io/megesc-20210926-dh-data-backup/podcasts.pcrcollective.org/CommonThreadCollective/CommonThreadCollective-20211001.mp3 290880 292926,I could not get through that fucking thicket.,Yes,Profanities,None of the above,1,fucking,0.9751840233802795,-2.85501480102539,20.85257911682129,,
112a8d35537d1a06295d3464_1463520_1465854,eng,devtest,https://prettygoodpodcast.com/podcast-download/691/pgp-319-lifes-been-good-to-me-so-far.mp3 1463520 1465854,Shut up. Yeah.,Yes,Physical violence or bullying language,Aggressive raising of the voice,1,,0.9577316641807556,-2.709122657775879,-3.897481918334961,,
11910033eb6cc15f00924be6_4224_8190,eng,devtest,https://media.socastsrm.com/wordpress/wp-content/blogs.dir/2509/files/2022/04/buffett-one.mp3 4224 8190,you see the Russian soldiers using rape as a strategy.,Yes,Pornographic language,None of the above,1,,0.7716695070266724,-1.592293620109558,-1.5065776109695437,,
11b807840f7071c2ff8582d1_2449440_2452254,eng,devtest,https://media.blubrry.com/secretlytimid/p/www.secretlytimid.com/wp-content/uploads/Thats_Not_What_I_Wanted_To_Do.mp3 2449440 2452254,The station says it's learned that she was raped several times.,Yes,Pornographic language,None of the above,1,,0.6660711765289307,-1.6701507568359375,-15.573355674743652,,
12e31a030c48ee15dfa03996_164064_166494,eng,devtest,https://pdst.fm/e/chrt.fm/track/G481GD/traffic.megaphone.fm/ADV4255063660.mp3 164064 166494,I believed my own bullshit.,Yes,Profanities,None of the above,1,bullshit,0.9557130932807922,-1.584149956703186,35.78053665161133,,
137515033c7ed33b6a55f289_1335264_1338462,eng,devtest,https://mcdn.podbean.com/mf/web/rc8c5t/Fortune_Favors_the_Bold6szfr.mp3 1335264 1338462,and we can you don't have you don't have to pay for gas and all that shit,Yes,Profanities,None of the above,1,shit,0.9532081484794617,-1.557816505432129,3.649984836578369,,
141eaaaf325e80a812fde03b_1012128_1015614,eng,devtest,http://radiozapatista.org/wp-content/uploads/2017/12/ConCiencias2_dia1_SupGaleano_Eng.mp3 1012128 1015614,They undressed the dead women and cut their breasts.,Yes,"Pornographic language, Physical violence or bullying language",None of the above,1,breasts,0.8434730172157288,-1.825376272201538,57.845947265625,,
143d6a5b771cf646ba69d568_905856_909342,eng,devtest,https://traffic.megaphone.fm/TAMC7188456088.mp3 905856 909342,to connect black people to a master computer for a plan for Satan.,Yes,Hate speech,Veiled threats,1,,0.694184422492981,31.5831241607666,24.63218879699707,,
14600a96caa889cd59006f9e_536064_540030,eng,devtest,https://archive.org/download/Rense.20170606/Rense.20170606.3of3.mp3 536064 540030,Why would blacks rather see whites dead?,Yes,Hate speech,Veiled threats,1,,0.9581214189529419,-4.288172721862793,26.79888343811035,,
14aa65f706847651627382d0_1479840_1482366,eng,devtest,http://berlinpatient.com/podcast-download/91/09.mp3 1479840 1482366,I'll fucking- I killed her and I'll kill her again!,Yes,"Profanities, Physical violence or bullying language","Aggressive (including passive-aggressive) tone of voice, Veiled threats",1,fucking,0.9966557025909424,-1.80706250667572,19.10788917541504,,
1575bc9652c145abdcd6c936_1968000_1970526,eng,devtest,https://evidenceforchristianity.org/wp-content/uploads/2015/09/Acts-Part-V.mp3 1968000 1970526,These Christians are all going to hell.,Yes,Hate speech,None of the above,1,,0.9910485744476318,19.0176944732666,7.838400840759277,,
159f3a30b9db57deb54293e8_1211520_1217310,eng,devtest,https://wvsop.com/wp-content/uploads/HillviewTerrace/Sermons/2015Sermons/2015-08-09-pm-Emanuel-Daugherty.mp3 1211520 1217310,"On that matter, homosexuality is a thing that is displeasing to God.",Yes,Hate speech,Aggressive (including passive-aggressive) tone of voice,1,,0.689482569694519,-1.7188700437545776,5.620038032531738,,
15b9520e8efb17842cccf354_966432_969630,eng,devtest,https://mp3.sermonaudio.com/filearea/290914374610/290914374610.mp3 966432 969630,forced his servant girl into a sexual relationship.,Yes,Physical violence or bullying language,None of the above,1,,0.5617194175720215,-13.45964813232422,-5.870358467102051,,
16c7f942c49d1a4ad644898a_561216_564318,eng,devtest,https://www.agradio.org/wp-content/uploads/2014/04/thursday-august-19-2010.mp3 561216 564318,I am mad. I am sick and tired of living with a sissy.,Yes,Slurs,None of the above,1,,0.95912104845047,2.803654670715332,0.808733344078064,,
181f2f4a6d858646f5ccd2c4_4789152_4791678,eng,devtest,https://www.retrogamingroundup.com/roundups/2022/RoundUp178_2022.03.30_16k.mp3 4789152 4791678,Fuck off! Back to the Stone Age!,Yes,Profanities,None of the above,1,fuck,0.9775362610816956,-18.73477363586425,-5.271188735961914,,
186c1590e23e133f67f35d6a_433152_436158,eng,devtest,https://archive.org/download/Rense.20170906/Rense.20170906.1of3.mp3 433152 436158,"raped every woman, almost every little girl.",Yes,Pornographic language,None of the above,1,,0.7299143671989441,36.5054931640625,-3.412686824798584,,
1b078711412bc2081162c25e_1150944_1153758,eng,devtest,https://stream.thisamericanlife.org/322/_7Ffw4yuD5D2G_Fjc95BuI99fQfaNsluUJyqgPlAC9U/322.mp3 1150944 1153758,"They called me like, loser Muslim and...",Yes,Hate speech,None of the above,1,,0.9669541716575623,-1.6494033336639404,-24.59927558898925,,
1b40bf7bc337b0ce48b94121_118848_121086,eng,devtest,https://stebbes.org/wp-content/uploads/2010/240110_Phil_Jack_These_are_the_Days_of_Elijah-1_Kings_18-1-24_If_the_Lord_is_God_follow_Him.mp3 118848 121086,"If he doesn't find you, he will kill me.",Yes,Physical violence or bullying language,Veiled threats,1,,0.914208173751831,-12.590697288513184,-14.66030216217041,,
1c08eb79e00f427cb48e1d33_1303392_1306974,eng,devtest,http://thegoddamnbacon.com/wp-content/uploads/2019/09/model-10-and-orgasm-satisfaction-show.mp3 1303392 1306974,"My work, my uh, physical activity has gone to shit.",Yes,Profanities,None of the above,1,shit,0.9213307499885559,-1.9936782121658323,8.508875846862793,,
1c7a14a13ded7d0ac16dfb68_1117056_1119198,eng,devtest,http://www.thebeerdadspodcast.com/Podcast/TBD176.mp3 1117056 1119198,"Man, that felt like dog shit.",Yes,Profanities,None of the above,1,shit,0.9315988421440125,-3.711617946624756,51.485816955566406,,
1ca3bc67d92e2c2a63654869_436800_440190,eng,devtest,https://mp3.sermonaudio.com/filearea/3180711552/3180711552.mp3 436800 440190,We deserve to die and we're separated from God.,Yes,Physical violence or bullying language,Aggressive raising of the voice,1,,0.9254098534584045,-3.052290439605713,-4.048344135284424,,
1cd8a36bcfea86dd67ac00e0_75456_78366,eng,devtest,http://www.podtrac.com/pts/redirect.mp3/peterbcollins.com/podcast/PBC_20171114p2163.mp3 75456 78366,sexually assaulted her in a locked...,Yes,Physical violence or bullying language,None of the above,1,,0.6636289358139038,1.5831094980239868,11.789267539978027,,
1e58841faa15a3c7868bea35_8180448_8183454,eng,devtest,http://www.stephankinsella.com/wp-content/uploads/media/kinsella-libertopia-2012-intellectual-nonsense-2.mp3 8180448 8183454,"and you instead say that you're a Muslim, I will kill you.",Yes,"Hate speech, Physical violence or bullying language",Veiled threats,1,,0.9900817275047302,6.377072811126709,37.00924301147461,,
1eea5356999a686d901fabe4_2665728_2667966,eng,devtest,https://www.podtrac.com/pts/redirect.mp3/chtbl.com/track/5899E/traffic.megaphone.fm/HSW8272592210.mp3 2665728 2667966,But sex is very important.,Yes,Pornographic language,None of the above,1,,0.5709459781646729,-1.7937017679214478,-13.05615234375,,
1f3e166ef733a5ab16f8f3c5_4454496_4462398,eng,devtest,https://media.fireside.fm/file/fireside-audio/podcasts/audio/6/6053f1b0-c94d-4553-8fa9-76954582ee19/episodes/d/d29145fe-7eee-4b48-b17f-0bbfd6a1d493/d29145fe-7eee-4b48-b17f-0bbfd6a1d493.mp3 4454496 4462398,of shit and whatever like I don't it didn't really like me but one day I was at my sister's house,Yes,Profanities,None of the above,1,shit,0.9383563995361328,-1.349577784538269,-13.459662437438965,,
20dbe6dd7e011fda575b5576_181056_183966,eng,devtest,http://www.archive.org/download/library_of_the_worlds_best_literature_12_librivox/worldsbestliterature_28_various_128kb.mp3 181056 183966,quarter past twelve I will cut off your ears for you.,Yes,Physical violence or bullying language,Veiled threats,1,,0.9158577919006348,-12.714824676513672,-5.414239883422852,,
223b748b716a42d5a9d0ccc6_981504_984894,eng,devtest,https://traffic.megaphone.fm/AOR6808858011.mp3 981504 984894,"Um, so they've known each other for a very long time. So they fucked.",Yes,Profanities,Aggressive (including passive-aggressive) tone of voice,1,fucked,0.9198161363601685,-1.628255009651184,-5.440237998962402,,
2254336bea7d33beb559e7de_1729152_1735038,eng,devtest,https://www.podtrac.com/pts/redirect.mp3/traffic.megaphone.fm/ADV5691873646.mp3 1729152 1735038,raping and in other ways,Yes,Pornographic language,None of the above,1,,0.8626704216003418,-1.7001692056655884,7.266363143920898,,
2266a3fb4451fc6e0e53c7a4_170304_177918,eng,devtest,https://cocbolivarmo.files.wordpress.com/2013/09/hosea.mp3 170304 177918,and bear him a son. So he goes and he finds one who is a prostitute.,Yes,Pornographic language,None of the above,1,prostitute,0.8559922575950623,-13.823214530944824,-18.473709106445312,,
24f9ff993a41aa96e5b450aa_890880_894462,eng,devtest,https://static1.squarespace.com/static/5f41967a4e9df03af17ecddf/t/618fe5f6c96f7174cda9a111/1636820516013/Uzumaki.mp3 890880 894462,as grotesque and again fucked up as it was.,Yes,Profanities,None of the above,1,fucked,0.9745328426361084,-1.484610080718994,-6.488612174987793,,
261e07f40b34156bad2cc05d_3410208_3412542,eng,devtest,https://mcdn.podbean.com/mf/web/ajfudv/composed.mp3 3410208 3412542,"All the money shit, money this, money that.",Yes,Profanities,None of the above,1,shit,0.9616345167160034,-1.8924143314361568,40.8993034362793,,
27539bd85bdba208ba9f6c9d_2117952_2120094,eng,devtest,http://efilism.com/ds/dp2.mp3 2117952 2120094,"You better be, I'm stupid.",Yes,Physical violence or bullying language,None of the above,1,stupid,0.9546804428100586,-1.8941857814788816,6.085239410400391,,
279fa9266e0f93ebe4d2cbdb_745440_750078,eng,devtest,https://www.archive.org/download/bookof1001nights_vol01_0810_librivox/thousand_nights_vol01_07_burton_64kb.mp3 745440 750078,So he went to help her and saw two black bitches with chains around their necks.,Yes,"Profanities, Hate speech, Physical violence or bullying language","Aggressive (including passive-aggressive) tone of voice, Veiled threats",1,bitches,0.9223260283470154,-7.290709495544434,1.0928314924240112,,
28aca3c4c668ba857238481c_1211424_1215678,eng,devtest,http://saratogachurchofchrist.com/wp-content/uploads/2020/12/13-2tim1.1-5.mp3 1211424 1215678,And what she's going to do is gather her grandchildren together and kill them.,Yes,Physical violence or bullying language,None of the above,1,,0.9823567867279053,-1.3411908149719238,-14.673321723937988,,
29909184db596aea17061063_1647648_1651038,eng,devtest,https://media.fireside.fm/file/fireside-audio/podcasts/audio/1/14eb939b-3c20-478e-b284-c7e3e642f7b3/episodes/7/7801c01f-7db9-4f91-b6e1-b6131217c658/7801c01f-7db9-4f91-b6e1-b6131217c658.mp3 1647648 1651038,"We know something's up, we know that something's fucked up, but we don't know",Yes,Profanities,None of the above,1,fucked,0.9014924168586731,-0.7713378667831421,17.821088790893555,,
2bd26a52ad0be193c4b86c4c_1338720_1344222,eng,devtest,http://www.nighthorsemedia.com/podcast-player/548/episode-12-the-sloppy-horse.mp3 1338720 1344222,"fucking time. Logan, what about you? Five things that I like about myself?",Yes,Profanities,None of the above,1,fucking,0.9742081165313721,-3.789219379425049,-22.23710250854492,,
2cee0200c0649480621bf64a_793920_797214,eng,devtest,https://pinecast.com/listen/5a3a0c85-432e-4cec-b2d7-7ee3996e098b.mp3 793920 797214,I would really appreciate it if you would fuck me.,Yes,Profanities,None of the above,1,fuck,0.9768519997596741,-1.4541492462158203,26.8935546875,,
30a9a92fb63a2434f2c2d06d_3403104_3406302,eng,devtest,https://stitcher.simplecastaudio.com/89060b63-e603-4297-b6e8-5a654e50244e/episodes/0f6d50c1-1b1c-469c-817c-2a2e8df84ec5/audio/128/default.mp3 3403104 3406302,"Lesson, insecurity makes us bitches.",Yes,Profanities,None of the above,1,bitches,0.9560122489929199,-2.203701496124268,23.36795234680176,,
32fb5f5d0d5e8d1e66bb20d4_1962624_1968318,eng,devtest,http://dnj.toutes-directions.com/dnjpodcast682.mp3 1962624 1968318,"Friday, May 4th, I'm not gonna make any stupid fucking jokes.",Yes,Profanities,None of the above,1,fucking|stupid,0.9853755235671997,-1.2829647064208984,9.764239311218262,,
34c310e9e1245d7cf153f030_703104_706494,eng,devtest,https://matthewsharmon.com/wp-content/uploads/2012/10/Week-8-Habakkuk-Obadiah.mp3 703104 706494,The Babylonians are worse than Judah.,Yes,Hate speech,Aggressive (including passive-aggressive) tone of voice,1,,0.9133398532867432,0.8466249704360962,10.351950645446776,,
3772fb390372cb111819d3e1_1605120_1607454,eng,devtest,http://flipsidechurch.org/flipsidec/Sermons/PK021118.mp3 1605120 1607454,his wife's a rash and all his friends said to him,Yes,Physical violence or bullying language,None of the above,1,,0.632765531539917,-15.514325141906738,-9.290388107299805,,
386f6a21a94c485b8ae66b04_4503072_4505982,eng,devtest,https://pastorbankie.org/kwm003/The_Prayer_Warrior_01.mp3 4503072 4505982,"Go and see the main authority. If you can't do that, shut up! Shut up!",Yes,Physical violence or bullying language,"Aggressive raising of the voice, Aggressive (including passive-aggressive) tone of voice",1,,0.9758452773094177,2.5996155738830566,28.213830947875977,,
3c1ed69114186a90af1366fc_318912_322398,eng,devtest,https://media.blubrry.com/tpk/p/totalpartykill.podbean.com/mf/web/3e94sh/Saga_Book_One.mp3 318912 322398,Why the fuck are they invited?,Yes,Profanities,Aggressive raising of the voice,1,fuck,0.94720858335495,-1.564296841621399,25.51571273803711,,
3d7aa11e46ebc27ae085e867_725856_728670,eng,devtest,https://www.springhillspca.org/hp_wordpress/wp-content/uploads/2021/09/2021-09-12-Sermon.mp3 725856 728670,And I realize how stupid have I been.,Yes,Profanities,None of the above,1,stupid,0.9570518136024475,-2.134830474853516,-11.321244239807127,,
3dd3c2bbf8fc8be8375e62de_958176_960798,eng,devtest,https://www.lwcpoway.com/hp_wordpress/wp-content/uploads/2019/11/2019-11-24-Daniel-Balcombe-Virtue-of-Forgiveness-web.mp3 958176 960798,Let's kill him. Let's kill him.,Yes,Physical violence or bullying language,Aggressive (including passive-aggressive) tone of voice,1,,0.9924301505088806,3.883764743804932,12.747632026672363,,
410f177ad19e91adf9adaa7a_806208_813534,eng,devtest,https://traffic.megaphone.fm/TAMC2174650675.mp3 806208 813534,important that they're not coming in and saying You guys all suck right now,Yes,"Profanities, Physical violence or bullying language",Aggressive (including passive-aggressive) tone of voice,1,,0.8837491869926453,-1.636258602142334,5.8052287101745605,,
417628f11b0b2c5c6164550b_1628832_1632222,eng,devtest,https://dts.podtrac.com/redirect.mp3/www.theincomparable.com/podcast/sim164.mp3 1628832 1632222,I am sick of your dumb opinions.,Yes,Physical violence or bullying language,Aggressive (including passive-aggressive) tone of voice,1,,0.9937286376953125,-10.196834564208984,35.11564254760742,,
41b733d7621eb84e7db8787b_229824_232926,eng,devtest,https://mcdn.podbean.com/mf/web/qwis6m/ChupaFinal.mp3 229824 232926,"Get over here, you goat sucker.",Yes,"Profanities, Pornographic language, Slurs",None of the above,1,,0.9905425906181335,-2.629713535308838,40.62287521362305,,
41bf08a0915a8c80d1d402b8_367968_373566,eng,devtest,https://www.archive.org/download/les_mis_vol02_0906_librivox/lesmiserables_vol2_52_hugo_64kb.mp3 367968 373566,"There was a great deal of forest, and the wolf was in the forest, and he ate the little cocks.",Yes,"Profanities, Pornographic language",None of the above,1,cocks,0.8702372312545776,-0.9036798477172852,-3.0882225036621094,,
41bf08a0915a8c80d1d402b8_370080_376926,eng,devtest,https://www.archive.org/download/les_mis_vol02_0906_librivox/lesmiserables_vol2_52_hugo_64kb.mp3 370080 376926,And the wolf was in the forest and he ate the little cocks.,Yes,"Profanities, Pornographic language",None of the above,1,cocks,0.9293869137763977,-14.118881225585938,-13.944428443908691,,
42bdb863b48dbd6b92f56a6d_3136704_3138942,eng,devtest,https://chrt.fm/track/B7AB5D/pdst.fm/e/dts.podtrac.com/redirect.mp3/traffic.omny.fm/d/clips/9b7dacdf-a925-4f95-84dc-ac46003451ff/ac2b3cd0-adc6-4e1e-b742-acb60019a852/49e14171-55a0-464d-a815-ad6d00730caa/audio.mp3 3136704 3138942,Fuckin' everybody's so desperate to like,Yes,Profanities,None of the above,1,fuckin,0.9376022219657898,-3.493605136871338,25.916154861450195,,
45637bf37e82cc2e39803dfa_868320_873438,eng,devtest,https://welwyn-evangelical.org.uk/sermon/2020/2020_04_29_BS_Study.mp3 868320 873438,you were different from other women in your whorings. No one solicited you to play the whore.,Yes,"Profanities, Pornographic language",None of the above,1,whore,0.9860157370567322,33.35917282104492,33.24629211425781,,
457cfc4fbb7c42bb257edfc9_1560480_1562718,eng,devtest,http://media.blubrry.com/creepypodsta/p/www.weaponizedlanguage.com/wp-content/uploads/2018/05/creepypodsta-132.mp3 1560480 1562718,"says, uh, you're gonna get yourself killed.",Yes,Physical violence or bullying language,Veiled threats,1,,0.9129888415336609,-2.114584445953369,-28.66729736328125,,
4593b73a53a6e196b28ec173_7861248_7864158,eng,devtest,http://corbettreport.com/mp3/episode126_invisible_empire.mp3 7861248 7864158,selective garbage.,Yes,Physical violence or bullying language,Veiled threats,1,,0.9868682622909546,-1.3953969478607178,-11.434062004089355,,
464a901f3d5bde54d6e658fa_694368_697470,eng,devtest,http://www.worthingtab.org.uk/download-file/audio/20161016-service-am.mp3 694368 697470,about to perhaps kill even more Christians.,Yes,"Hate speech, Physical violence or bullying language",Veiled threats,1,,0.9449405670166016,-12.473587989807127,-11.029739379882812,,
4675e0c2a5684a76b9170a12_998976_1001406,eng,devtest,https://www.discoverychurchyankton.org/hp_wordpress/wp-content/uploads/2021/07/Discovery-Yankton-070421-copy.mp3 998976 1001406,Canaanite. A Canaanite prostitute.,Yes,Pornographic language,None of the above,1,prostitute,0.9920437932014465,-1.7941161394119265,-20.88590812683105,,
46a4c9b7ef1eb2b7ab556318_482496_486558,eng,devtest,https://www.graceforme.com/podcast-download/34963/the-purity-laws.mp3 482496 486558,"man has an emission of semen, he shall bathe his whole body in water",Yes,Pornographic language,Veiled threats,1,,0.9159584641456604,-14.444719314575195,-11.224413871765137,,
46a914b5ec62effad3079d31_1113600_1116414,eng,devtest,https://www.communitybibleknoxville.com/hp_wordpress/wp-content/uploads/2017/02/Hebrews-Part-2-Creation-and-Abel.mp3 1113600 1116414,Now Adam had sexual relations with his wife Eve.,Yes,Physical violence or bullying language,None of the above,1,,0.9115415811538696,-10.665141105651855,-3.472750186920166,,
46eb196a5215c9b5d798828b_2645376_2648286,eng,devtest,https://dts.podtrac.com/redirect.mp3/pdst.fm/e/chtbl.com/track/9EE2G/rss.art19.com/episodes/e8de1aa0-cc97-47bd-b472-2d232c8ff9a9.mp3 2645376 2648286,"Tom, what are you killing your brain with?",Yes,Physical violence or bullying language,Aggressive (including passive-aggressive) tone of voice,1,,0.8501172661781311,-1.5672481060028076,-30.774333953857425,,
47406e37a036f3976a6ccf26_1200672_1203006,eng,devtest,http://www.blogtalkradio.com/signs-and-wonders/2012/02/18/hebrew-council-meeting--number-14.mp3 1200672 1203006,to wipe out the Caucasian.,Yes,Hate speech,None of the above,1,,0.6936930418014526,-4.1923112869262695,-8.00247859954834,,
474fafb39e70a6dec37c29ea_1295520_1297566,eng,devtest,https://www.christchurchchester.com/sermons/2019/191014BibleCourse1.mp3 1295520 1297566,women are not worthy of life.,Yes,"Hate speech, Physical violence or bullying language",Aggressive (including passive-aggressive) tone of voice,1,,0.7246671319007874,-1.6980284452438354,-3.724208831787109,,
475ea7ca417bdcf4148ec716_579360_583038,eng,devtest,http://wildwasteland.s3-us-east-2.amazonaws.com/WW-57.mp3 579360 583038,They came to America on the fucking Mayflower.,Yes,Profanities,Aggressive (including passive-aggressive) tone of voice,1,fucking,0.9800496101379395,-1.6337727308273315,18.711116790771484,,
476aafc9bdcf544764ec616b_2942880_2946846,eng,devtest,https://media.transistor.fm/f3e5901a/95a27268.mp3 2942880 2946846,bit of a fucking nightmare. Let's just say it is a miracle.,Yes,Profanities,Aggressive (including passive-aggressive) tone of voice,1,fucking,0.957489550113678,-2.93688440322876,44.72623825073242,,
477fa956baf169dd2366e2d4_1095936_1098174,eng,devtest,https://pinecast.com/listen/351d3b8a-28bb-4688-a921-e38866b6c3d0.mp3 1095936 1098174,kills the guys who are still alive with his arrows.,Yes,Physical violence or bullying language,None of the above,1,,0.8274149298667908,-13.702391624450684,-4.216585636138916,,
47d19be539eb22770ba36a25_2028672_2033022,eng,devtest,https://episodes.castos.com/60d5659f7bdcf9-29637668/UrDJ4wbLWXItGFuyx5YzAeCUgSjekkmycFOV5mQ2.mp3 2028672 2033022,one thing's why of having an erotic pregnancy dream.,Yes,Profanities,None of the above,1,,0.5193551182746887,-1.2223453521728516,-21.75766944885254,,
47ea411cd5d5050a2ecf31e0_2338848_2340894,eng,devtest,http://shademountain.org/wp-content/uploads/2020/10/Marcus-Kauffman-October-23-2020.mp3 2338848 2340894,of the wise man and a foolish man.,Yes,Physical violence or bullying language,None of the above,1,,0.875648021697998,-1.810827612876892,-10.64711856842041,,
